,Year,Team,Week,,Sacked,Yards
0,1963,crd,11,/boxscores/196311240nyg.htm,6,55
0,1963,crd,12,/boxscores/196312010crd.htm,4,39
0,1963,crd,13,/boxscores/196312080crd.htm,2,17
0,1963,crd,14,/boxscores/196312150crd.htm,2,18
0,1962,crd,1,/boxscores/196209160phi.htm,2,21
0,1962,crd,2,/boxscores/196209230gnb.htm,5,41
0,1962,crd,3,/boxscores/196209300was.htm,1,13
0,1962,crd,4,/boxscores/196210070crd.htm,5,44
0,1962,crd,5,/boxscores/196210140crd.htm,4,34
0,1962,crd,6,/boxscores/196210210crd.htm,1,13
0,1962,crd,7,/boxscores/196210280dal.htm,1,5
0,1962,crd,8,/boxscores/196211040nyg.htm,2,19
0,1962,crd,9,/boxscores/196211110crd.htm,0,0
0,1962,crd,10,/boxscores/196211180cle.htm,0,0
0,1962,crd,11,/boxscores/196211250crd.htm,3,26
0,1962,crd,12,/boxscores/196212020pit.htm,6,54
0,1962,crd,13,/boxscores/196212090crd.htm,2,18
0,1962,crd,14,/boxscores/196212160crd.htm,0,0
0,1961,crd,1,/boxscores/196109170nyg.htm,5,43
0,1961,crd,2,/boxscores/196109240cle.htm,5,47
0,1961,crd,3,/boxscores/196110010phi.htm,3,27
0,1961,crd,4,/boxscores/196110080crd.htm,7,64
0,1961,crd,5,/boxscores/196110150crd.htm,2,19
0,1961,crd,6,/boxscores/196110220was.htm,3,29
0,1961,crd,7,/boxscores/196110290crd.htm,4,34
0,1961,crd,8,/boxscores/196111050dal.htm,1,8
0,1961,crd,9,/boxscores/196111120crd.htm,7,59
0,1961,crd,10,/boxscores/196111190clt.htm,6,50
0,1961,crd,11,/boxscores/196111260pit.htm,5,41
0,1961,crd,12,/boxscores/196112030crd.htm,1,13
0,1961,crd,13,/boxscores/196112100crd.htm,2,22
0,1961,crd,14,/boxscores/196112170crd.htm,1,5
0,1960,crd,1,/boxscores/196009230ram.htm,2,22
0,1960,crd,2,/boxscores/196010020crd.htm,2,20
